BCG locus	H37Rv Ortholog	Tuberculist annotation	Function	Essentiality in Input library	No of cattle with significant change 	mean_lf2c_danish		Essentiality in Input library	No of cattle with significant change 	mean_lf2c_pasteur
BCG_3604c	Rv3540c	ltp2	Ltp2_1	NE	1	-3.09		GD	0	-2.25
BCG_3605c	Rv3541c	Rv3541c	conserved hypothetical protein	NE	0	-6.59		GD	0	0.00
BCG_3606c	Rv3542c	Rv3542c	Actinomycete protein of unknown function (DUF875) family	NE	3	-5.60		NE	0	-2.91
BCG_3607c	Rv3543c	fadE29	FadE29	NE	4	-4.99		NE	0	-3.79
BCG_3608c	Rv3544c	fadE28	FadE28	NE	4	-6.28		NE	0	-1.57
BCG_3609c	Rv3545c	cyp125	P450 heme-thiolate protein	NE	0	-0.61		NE	2	-4.07
BCG_3610	Rv3546	fadA5	FadA5	NE	0	-4.82		NE	0	-5.24
BCG_3611	Rv3547	ddn	Mycobacterium tuberculosis paralogous family 11	NE	2	-3.34		NE	0	0.73
BCG_3612c	Rv3548c	Rv3548c	oxidoreductase, short-chain dehydrogenase/reductase family	NE	2	-6.13		NE	0	-4.09
BCG_3613c	Rv3549c	Rv3549c	oxidoreductase, short chain dehydrogenase/reductase family	NE	3	-4.49		GD	0	-3.64
BCG_3614	Rv3550	echA20	EchA20	NE	0	0.00		GD	0	0.00
BCG_3615	Rv3551	Rv3551	POSSIBLE COA-TRANSFERASE (ALPHA SUBUNIT)	NE	0	-5.04		GD	0	-3.81
BCG_3616	Rv3552	Rv3552	CoA transferase, beta subunit	NE	0	-3.48		GD	0	-3.42
BCG_3617	Rv3553	Rv3553	oxidoreductase, 2-nitropropane dioxygenase family	NE	0	-0.73		NE	0	-2.57
BCG_3618	Rv3554	fdxB	ring-hydroxylation complex protein 4	NE	0	0.18		NE	1	-1.23
BCG_3619c	Rv3555c	Rv3555c	MAV346	NE	1	-1.09		NE	2	-2.67
BCG_3620c	Rv3556c	fadA6	FadA6_1	NE	3	-5.98		NE	2	-5.98
BCG_3621c	Rv3557c	Rv3557c	kstR2	NE	3	-4.78		NE	2	-3.70
BCG_3622	Rv3558	PPE64	PPE family protein	NE	1	-2.39		NE	0	1.32
BCG_3623c	Rv3559c	Rv3559c	oxidoreductase, short chain dehydrogenase/reductase family	NE	0	-2.95		NE	0	-1.93
BCG_3624c	Rv3560c	fadE30	FadE30	NE	2	-2.61		NE	0	-3.36
BCG_3625	Rv3561	fadD3	substrate--CoA ligase	NE	3	-3.12		NE	0	-0.78
BCG_3626	Rv3562	fadE31	FadE31	GD	0	-3.51		GD	0	-3.43
BCG_3627	Rv3563	fadE32	FadE32	GD	0	-3.32		GD	0	-2.32
BCG_3628	Rv3564	fadE33	FadE33	NE	0	-3.10		GD	0	-0.18
BCG_3629	Rv3565	aspB	AspB	NE	0	-1.75		NE	0	-0.53
BCG_3630c	Rv3566c	nat	Arylamine N-acetyltransferase	NE	2	-1.67		NE	0	-2.37
BCG_3632c	Rv3567c	hsaB	POSSIBLE OXIDOREDUCTASE	NE	1	-4.32		GD	0	-2.74
BCG_3633c	Rv3568c	hsaC	2,3-dihydroxybiphenyl 1,2-dioxygenase	NE	5	-7.55		GD	0	-3.65
BCG_3634c	Rv3569c	hsaD	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase	NE	2	-4.17		GD	0	-3.28
BCG_3635c	Rv3570c	hsaA	POSSIBLE OXIDOREDUCTASE	NE	2	-3.11		GD	0	-2.90
BCG_3636	Rv3571	kshB	oxygenase reductase KshB	NE	2	-2.03		GD	0	-2.69
BCG_3637	Rv3572	conserved hypothetical protein		NE	1	-3.91		NE	0	-4.61
BCG_3638c	Rv3573c	fadE34	FadE34	NE	1	-0.85		NE	1	-0.98
BCG_3639	Rv3574	kstR	transcriptional regulator, TetR family	NE	1	-1.94		NE	0	-2.70
